superficie_m2,nb_chambres,nb_salles_bain,etage,annee_construction,distance_centre_km,parking,prix_dz
224,5,2,12,2022,7.3,1,4066980
128,2,2,6,2016,23.1,0,1683447
236,1,1,6,1974,3.5,0,3019355
154,5,3,1,1985,22.3,1,2371575
233,1,1,9,1984,24.6,1,2775291
187,5,3,10,1985,9.4,0,3323707
145,3,2,1,2005,28.5,0,1681284
200,4,3,15,1973,29.2,1,2894635
146,4,1,9,1994,5.9,1,2686675
101,2,2,4,2021,14.2,0,1500000
182,5,1,12,1985,8.0,1,3208891
205,1,2,11,1975,16.3,0,2599803
194,5,1,2,1982,24.2,0,2556770
162,2,2,9,1970,6.7,0,2421836
233,4,1,6,1995,27.5,1,3086566
238,3,2,14,2004,19.6,1,3521036
167,4,1,15,2018,25.3,0,2560687
134,3,2,1,2006,26.0,0,1739037
189,5,3,13,1988,5.0,1,3668332
98,4,3,7,2001,16.7,1,2003164
225,4,2,5,2016,24.0,0,3218379
75,5,2,5,2004,29.7,0,1500000
59,1,1,13,1978,25.4,0,1500000
57,2,1,6,2002,14.0,0,1500000
197,4,3,15,1971,0.7,1,3607997
43,1,3,8,2004,29.3,0,1500000
150,2,1,3,2003,4.9,0,2256276
198,5,2,11,1987,24.0,0,2813971
184,2,3,7,1989,20.7,0,2420442
207,1,1,12,1994,11.6,1,2936346
83,1,2,13,2011,23.6,0,1500000
175,1,1,6,2014,26.7,1,2044987
215,3,3,1,1981,27.9,1,2888100
44,2,3,4,2018,24.7,1,1500000
184,2,3,12,2013,26.9,1,2566841
138,2,3,2,2002,22.5,1,2001928
59,3,3,12,2019,10.1,1,1808389
240,4,2,7,1992,16.8,1,3476182
209,4,1,9,2021,7.8,0,3439127
61,3,1,12,2015,23.6,0,1500000
67,1,1,9,1998,11.1,1,1500000
66,2,1,5,1997,13.7,1,1500000
181,1,3,10,1994,0.9,1,3075952
139,1,3,7,2006,15.9,1,2131677
108,4,1,2,1980,13.3,1,1922391
116,4,1,11,1986,28.4,1,1676129
67,2,2,0,1995,10.3,1,1500000
245,3,2,10,1997,24.6,0,3113104
217,2,2,10,1981,29.0,1,2752357
114,4,3,7,1990,11.6,1,2177291
91,5,3,5,2013,23.1,0,1843157
226,4,3,6,1998,24.0,0,3151863
144,4,1,9,1985,8.0,0,2293608
223,4,2,2,1998,29.7,1,2839002
217,4,3,1,2020,29.1,0,2792130
67,2,3,11,1980,19.6,0,1500000
205,4,2,13,1976,0.8,1,3641456
96,5,3,7,1998,11.5,1,2291918
168,2,2,0,2000,3.6,1,2612425
61,1,3,4,1992,9.7,1,1500000
129,4,1,14,2016,21.1,1,2210161
57,3,1,3,1971,25.6,0,1500000
229,2,3,5,2005,5.2,1,3563996
158,2,2,5,1981,19.4,1,2025336
90,4,3,13,1994,0.6,0,2361803
92,3,3,2,2006,3.5,0,1873749
69,3,3,15,2003,29.0,1,1500000
192,4,3,12,2007,3.9,1,3714627
248,3,3,2,2013,4.5,0,3694488
101,3,1,5,1993,21.0,1,1500000
138,4,1,15,2010,16.4,0,2365413
182,2,2,9,1978,6.0,1,2766773
42,4,1,6,2022,11.8,1,1500000
144,4,2,14,2001,5.4,0,2777054
48,3,1,9,1980,23.5,1,1500000
180,5,1,3,1987,23.4,1,2503142
234,4,3,6,1997,3.5,0,3762875
116,1,2,8,1992,25.9,0,1500000
238,2,1,11,2015,18.5,1,3421526
82,5,1,6,2022,6.6,0,1906782
192,5,1,10,2015,9.1,1,3443966
171,1,1,13,1973,29.8,0,1650173
77,3,1,12,2001,4.7,1,1867285
200,4,2,14,1974,19.2,0,2774877
217,3,2,15,1990,17.7,0,3159333
227,4,3,11,2024,2.4,1,4199019
94,4,2,10,2023,8.9,0,2169050
184,4,2,1,1972,3.4,1,3279252
80,4,2,0,1997,6.5,0,1678812
206,3,1,8,1975,19.8,1,2895732
206,2,1,12,2010,9.5,0,3065529
149,1,3,3,1970,6.8,0,2072504
214,4,1,0,2014,10.6,0,3192422
148,2,2,2,1984,11.8,0,2053037
116,2,2,4,2011,29.8,0,1500000
57,5,3,0,2009,19.7,1,1500000
231,2,2,14,1983,3.1,0,3528558
75,1,3,12,1992,28.9,1,1500000
205,1,1,9,2019,28.3,0,2207628
208,3,1,6,2017,12.1,0,3047965
101,4,2,3,1985,15.2,0,1512036
175,1,2,10,1978,11.9,1,2412576
235,4,1,0,2007,2.5,1,3900747
95,1,1,12,2002,9.0,1,1628017
203,5,3,4,1987,3.0,0,3538492
170,2,1,10,1995,17.8,0,2179324
101,1,1,2,1997,3.9,0,1579755
119,2,1,0,2015,4.5,0,1999956
173,5,3,8,1980,11.5,1,3300548
227,1,1,10,2021,13.2,0,2995334
200,1,2,14,2002,11.1,1,3233636
185,2,2,5,1986,23.3,0,2173904
51,1,1,1,2000,11.2,0,1500000
85,1,3,13,1984,10.0,1,1700659
59,5,2,3,2002,20.4,0,1500000
